2015,藤井拓郎,ＪＡＰＡＮ,51.58,2015年08月07日(金)
2016,藤井拓郎,ＪＡＰＡＮ,52.03,2016年04月10日(日)
2008,岸田真幸,ｱｸﾗﾌﾞ調布,51.86,2008年04月20日(日)
2009,岸田真幸,ｷﾝｸﾞｿﾌﾄ,51.83,2009年04月19日(日)
2010,岸田真幸,αSports Lab,51.98,2010年04月16日(金)
2011,岸田真幸,αSports Lab,52.90,2011年04月11日(月)
2012,岸田真幸,αSports Lab,53.03,2012年04月07日(土)
2013,岸田真幸,東　京,53.44,2013年09月13日(金)
2014,岸田真幸,アクラブ調布,53.36,2014年04月13日(日)
2015,岸田真幸,アクラブ調布,52.97,2015年04月11日(土)
2016,岸田真幸,アクラブ調布,52.59,2016年05月22日(日)
2017,岸田真幸,ﾂｶｻｽｲﾐﾝｸﾞ,53.05,2017年04月16日(日)
2018,岸田真幸,東　京,53.38,2018年09月15日(土)
2019,岸田真幸,ツカサ電工,53.07,2019年08月11日(日)
2020,岸田真幸,ツカサ電工,53.55,2021年02月07日(日)
2021,岸田真幸,ﾂｶｻﾄﾞﾙﾌｨﾝ,52.97,2021年04月08日(木)
2011,浜谷憲周,青森戸山,56.49,2011年08月20日(土)
2012,浜谷憲周,順天堂大,56.01,2012年08月05日(日)
2013,浜谷憲周,順天堂大,54.54,2014年02月02日(日)
2014,浜谷憲周,青　森,53.78,2014年09月12日(金)
2015,浜谷憲周,順天堂大,53.11,2015年04月11日(土)
2016,浜谷憲周,ＪＦＥ京浜,52.64,2016年04月10日(日)
2017,浜谷憲周,ＪＦＥ京浜,53.53,2017年08月06日(日)
2018,浜谷憲周,ＪＦＥ京浜,53.57,2018年09月02日(日)
2019,浜谷憲周,ＪＦＥ京浜,54.25,2019年11月10日(日)
2020,浜谷憲周,ＪＦＥ京浜,53.92,2020年11月08日(日)
2021,浜谷憲周,ＪＦＥ京浜,54.71,2021年06月05日(土)
2022,浜谷憲周,ＪＦＥ京浜,55.17,2022年06月12日(日)
2008,河本耕平,SNW,51.77,2008年06月08日(日)
2009,河本耕平,新    潟,51.00,2009年09月11日(金)
2010,河本耕平,SNW,52.37,2010年06月06日(日)
2011,河本耕平,新  潟,52.35,2011年09月09日(金)
2012,河本耕平,SNW,52.63,2012年04月07日(土)
2013,河本耕平,新  潟,52.25,2013年09月13日(金)
2014,河本耕平,SNW,52.30,2014年04月13日(日)
2015,河本耕平,新  潟,52.98,2015年09月11日(金)
2016,河本耕平,ＮＳＰ,52.82,2016年04月09日(土)
2017,河本耕平,ＮＳＰ,53.59,2017年04月16日(日)
2018,河本耕平,ＮＳＰ,53.42,2018年05月27日(日)
2008,池端宏文,九州学院,54.79,2008年08月20日(水)
2009,池端宏文,九州学院,52.26,2009年08月20日(木)
2010,池端宏文,九州学院,53.25,2010年08月20日(金)
2011,池端宏文,法政大,52.87,2011年09月03日(土)
2012,池端宏文,法政大,52.41,2012年05月27日(日)
2013,池端宏文,法政大,52.79,2013年04月14日(日)
2014,池端宏文,法政大,51.89,2014年06月22日(日)
2015,池端宏文,山本光学,53.32,2015年08月02日(日)
2016,池端宏文,山本光学,53.22,2016年04月09日(土)
2009,萩野公介,御幸ヶ原SS,54.53,2010年01月17日(日)
2010,萩野公介,御幸ヶ原ＳＳ,55.22,2010年05月16日(日)
2011,萩野公介,御幸ヶ原ＳＳ,54.67,2011年10月09日(日)
2013,萩野公介,東洋大,53.24,2013年11月21日(木)
2014,萩野公介,東洋大,52.11,2014年06月22日(日)
2017,萩野公介,ブリヂストン,52.54,2017年05月21日(日)
2018,萩野公介,ブリヂストン,53.52,2019年01月27日(日)
