2008,寺川綾,ﾐｽﾞﾉ,28.11,2009年01月25日(日)
2009,寺川綾,ﾐｽﾞﾉ,27.78,2009年04月18日(土)
2010,寺川綾,ミズノ,28.05,2010年04月18日(日)
2011,寺川綾,ミズノ,27.79,2011年04月11日(月)
2012,寺川綾,ミズノ,27.71,2012年05月27日(日)
2013,寺川綾,ミズノ,26.06,2013年08月10日(土)
2008,平井稚菜,sw大教大宮東,29.23,2008年11月24日(月)
2009,平井稚菜,sw大教大宮東,28.88,2009年08月30日(日)
2010,平井稚菜,SW大教大宮東,28.63,2010年06月06日(日)
2010,平井稚菜,春日部共栄,28.90,2010年08月01日(日)
2011,平井稚菜,スウィン大教,29.09,2011年05月22日(日)
2012,平井稚菜,スウィン大教,29.14,2012年08月30日(木)
2013,平井稚菜,スウィン大教,28.87,2013年04月13日(土)
2008,辻本茉穂,ｲﾄﾏﾝ大和郡山,30.38,2008年06月08日(日)
2009,辻本茉穂,ｲﾄﾏﾝ大和郡山,28.68,2009年08月30日(日)
2010,辻本茉穂,イ ト マ ン,29.60,2010年06月06日(日)
2011,辻本茉穂,イ ト マ ン,29.22,2011年08月30日(火)
2012,辻本茉穂,イ ト マ ン,29.18,2012年08月30日(木)
2013,辻本茉穂,イ ト マ ン,29.48,2013年05月26日(日)
2014,辻本茉穂,イ ト マ ン,29.34,2014年04月12日(土)
2016,辻本茉穂,イ ト マ ン,29.72,2016年05月22日(日)
2017,辻本茉穂,ＪＳＳエビス,30.32,2017年07月02日(日)
2018,辻本茉穂,ＪＳＳ深井,30.09,2018年07月01日(日)
2008,池田実加,太成学院大高,28.79,2008年08月30日(土)
2009,池田実加,同志社大,29.06,2009年04月18日(土)
2010,池田実加,同志社大学,29.97,2011年02月12日(土)
2011,池田実加,同志社大学,29.43,2011年06月12日(日)
2012,池田実加,同志社大学,29.22,2012年05月27日(日)
2014,池田実加,TEAM HOS,29.58,2014年08月03日(日)
2015,池田実加,TEAM HOS,30.02,2015年06月07日(日)
2019,池田実加,HOS OGURA,30.95,2019年06月09日(日)
2008,中村桃子,ﾛﾝﾄﾞ上北台,31.39,2008年06月08日(日)
2009,中村桃子,ﾛﾝﾄﾞ上北台,30.09,2009年06月07日(日)
2010,中村桃子,ロンド上北台,29.98,2010年04月18日(日)
2011,中村桃子,金田ＳＣ,29.24,2011年04月11日(月)
2012,中村桃子,法政大,29.29,2012年05月27日(日)
2013,中村桃子,法政大,29.50,2013年04月13日(土)
2014,中村桃子,法政大,29.38,2015年02月22日(日)
2015,中村桃子,法政大,29.27,2015年04月07日(火)
2008,田部井恵理,日本体育大,28.69,2008年06月08日(日)
2009,田部井恵理,日本体育大,28.50,2009年04月18日(土)
2010,田部井恵理,ＪＳＳ山本,28.90,2010年04月18日(日)
2011,田部井恵理,ＪＳＳ山本,28.73,2011年05月22日(日)
2009,岸本梨沙,ｽｳｨﾝ宇都宮,30.42,2010年01月17日(日)
2010,岸本梨沙,ｽｳｨﾝ宇都宮,30.02,2010年08月27日(金)
2011,岸本梨沙,ｽｳｨﾝ宇都宮,28.91,2011年08月30日(火)
2012,岸本梨沙,ｽｳｨﾝ宇都宮,29.60,2012年12月09日(日)
2013,岸本梨沙,ｽｳｨﾝ宇都宮,29.96,2013年05月12日(日)
2014,岸本梨沙,ｽｳｨﾝ宇都宮,29.43,2014年05月11日(日)
2015,岸本梨沙,ｽｳｨﾝ宇都宮,29.76,2015年04月07日(火)
2008,清水梓帆,ｳｪﾙﾋﾞ水口,30.04,2008年06月08日(日)
2009,清水梓帆,ｳｪﾙﾋﾞ水口,29.30,2009年08月30日(日)
2010,清水梓帆,ウェルビ水口,29.23,2010年06月06日(日)
2011,清水梓帆,武庫川女子大,28.94,2011年04月11日(月)
2012,清水梓帆,武庫川女子大,30.19,2013年01月20日(日)
2008,吾郷渚,中京大,30.43,2008年11月23日(日)
2009,吾郷渚,中京大,29.67,2009年04月18日(土)
2010,吾郷渚,中京大,29.69,2011年02月13日(日)
2011,吾郷渚,中京大,29.02,2011年05月22日(日)
2008,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.93,2008年08月30日(土)
2009,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.40,2009年08月30日(日)
2010,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.03,2010年06月06日(日)
2011,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.28,2011年08月30日(火)
2012,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.54,2012年08月30日(木)
2013,神村万里恵,ｾﾝﾄﾗﾙ成瀬,30.13,2013年05月26日(日)
2014,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.87,2014年06月21日(土)
2015,神村万里恵,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,29.89,2015年07月11日(土)
2016,神村万里恵,ｾﾝﾄﾗﾙ成瀬,29.45,2016年05月22日(日)
2010,伊藤華英,ｾﾝﾄﾗﾙｽﾎﾟｰﾂ,29.16,2010年12月12日(日)
2008,有田真紀,筑波大,29.40,2008年06月08日(日)
2009,有田真紀,筑波大,29.46,2009年04月18日(土)
2010,有田真紀,筑波大,29.22,2010年04月18日(日)
2008,酒井志穗,ﾌﾞﾘﾁﾞｽﾄﾝ,27.97,2008年08月30日(土)
2009,酒井志穗,ﾌﾞﾘﾁﾞｽﾄﾝ,28.03,2009年06月07日(日)
2008,高橋知美,のぼりとSC,28.95,2008年06月08日(日)
2009,高橋知美,のぼりとSC,28.74,2009年06月07日(日)
2008,堀江彩香,順天堂大,30.03,2008年06月08日(日)
2009,堀江彩香,順天堂大,29.10,2009年06月07日(日)
2008,赤木彩乃,真庭SC,30.02,2008年08月30日(土)
2009,赤木彩乃,真庭SC,29.23,2009年12月13日(日)
2010,赤木彩乃,真庭SC,29.39,2010年08月30日(月)
2011,赤木彩乃,真庭SC,29.73,2011年08月30日(火)
2012,赤木彩乃,真庭SC,29.44,2012年05月27日(日)
2013,赤木彩乃,早稲田大,29.77,2013年07月07日(日)
2014,赤木彩乃,ロンド東村山,30.22,2014年05月18日(日)
2015,赤木彩乃,ロンド東村山,29.88,2015年04月07日(火)
2016,赤木彩乃,ロンド東村山,30.45,2016年05月22日(日)
2008,中村礼子,東京SC,28.25,2008年06月08日(日)
2008,應田花歩,JSS住吉,29.10,2008年08月30日(土)
2009,應田花歩,JSS和泉中央,29.99,2009年06月07日(日)
2010,應田花歩,大阪体育大学,29.89,2010年04月18日(日)
2010,應田花歩,JSS和泉中央,30.02,2010年06月06日(日)
2011,應田花歩,大阪体育大学,30.19,2011年04月29日(金)
2011,應田花歩,JSS和泉中央,30.36,2011年05月22日(日)
2012,應田花歩,大阪体育大学,30.48,2012年04月28日(土)
2008,加藤由衣,ｲﾄﾏﾝ,29.77,2009年01月25日(日)
2009,加藤由衣,ｲﾄﾏﾝ,30.04,2009年04月18日(土)
2010,加藤由衣,イ ト マ ン,30.99,2010年04月18日(日)
